Category,Question,Answer
General,What is a pharaoh,King of egypt
History & Holidays,Which British alternative band takes its name from a character in the film To Kill a Mockingbird ? ,The Boo Radleys 
General,Point Maley is the coast guard cutter in what Disney movie,Boatniks
General,"Who recorded the album ""nebraska"" in 1982",Bruce springsteen
General,"Other than martha washington, which two women have been represented on u.s currency",Pocahontas and susan b anthony
General,What creature has a penis 20 times the length of its body,Barnacle
Geography,What is the basic unit of currency for Switzerland ?,Franc
Science & Nature,"A group of bees can be called either a hive, a swarm, or a __________",Grist
Music,"How Are ""Florence Ballard & Mary Wilson"" More Commonly Known",The Supremes
General,Name the Australian film about the pianist Halstadt,Shine
General,"In 1925 Grace Scurr, A Secretary Invented & Named Which Product Now Synonomous With The 1980's?",The Filofax
General,In Which Sport Might You Perform “ A Double Axel ” & “ A Lutz ” ?,Ice Skating
General,Which Latin American author wrote 'The War of the End of the World',Mario vargas llosa
General,Who was king of the Franks from 768 to 814 a.d,Charlemagne
Sports & Leisure,Who Ended Up Winning The Formula One Drivers Championship In 2007 ,Kimi Raikkonen 
General,Which German city was the birthplace of the poet Heinrich Heine,Dusseldorf
General,What's the capital of the Comoros,Moroni
Music,Before Changing It To Bob Dylan What Was This Legends Name,Robert Zimmerman
General,Details of what can be found in The Blue Book,US Aristocracy
General,What is the heaviest snake,Anaconda
Geography,"Excluding Alaska, the American state with the lowest population density is?",Wyoming
General,Who painted The Blue Boy,Thomas gainsborough
Music,Name Either Of Chopin's Christian Names,Frederic Froncois
Music,"Who Had A Hit With ""Sweet Dreams Are Made Of This""",The Eurythmics
General,"Which Safety Device First Constructed & Used In 1982, Is Known By Its Creators As “Hybrid 3”",Crash Test Dummy
General,The Intelligent whale was the nickname of an early what,Submarine
Tech & Video Games,What video game starts out with Koma Pigs stealing your treasured bracelet?,Tomba!
History & Holidays,This French peasant girl led the army to victories.,Joan of Arc
General,What distant planet circles the sun every 84 years,Uranus
General,According to the ancient Chinese what cures headaches,Swinging your arms
General,What is the longest insect,Walking stick
Food & Drink,In which dishes is sticky rice used? ,Sushi 
General,Who sang the 1975 remake of the Flamingos' I Only Have Eyes For You,Art
General,Which year did Jemima Goldsmith marry Imram Kahn,1995
General,What was the name of Roses monkey in Friends,Marcel
Science & Nature,Who invented the smallpox vaccine?,Edward Jenner
General,Fear of haircuts is called,Tonsurephobia
General,Which star of films such as 'The Philadelphia Story' died in 1997,James stewart
General,Which English King had the most legitimate children (18),Edward I
General,Photophobia is fear of ______,Light
General,Which country made the worlds first feature film in 1906,Australia Story of Kelly gang
Science & Nature,From 1979 until 2000 the most distant planet from the earth was _______.,Neptune
General,What's the world's largest Gulf?,Gulf of mexico
General,"What do the pig, horse and rat have in common",Chinese astrology
Entertainment,Where does Yogi Bear Live?,Jellystone Park
General,What was unusual about Tyrell's car in the 1976 Spanish G Prix,Six Wheels
General,"Mr & Mrs Dursley Of No. 4 Privet Drive,Were Proud To Say That They Were Perfectly Normal Is the opening passage to which famous book?",Harry Potter & The Philosphers Stone
General,Who was murdered in Bohemia in 929,Good King Wenceslas
General,Nosocomephobia is the fear of,Hospitals
General,Where did the British Brown Bess musket get its name,Thin line of uniform brown rust
General,Which actress said 'Sometimes I'm so sweet even l can't stand it',Julie andrews
General,What sort of animal is a fennec,Desert Fox
General,In what country did bongo drums originate,Cuba
General,Phil Collins won an Oscar for Best Original Song in 2000. In which film,Tarzan
General,India became independent in what year,1947
Music,What Is Paul McCartneys Middle Name,Paul His First Name Is James
Sports & Leisure,Which English Footballer Was Sent Off In The 1998 World Cup ,David Beckham 
General,"In the tv series 'leave it to beaver', what was the mother's name",June
General,What Everyday Object Was Invented By Don Wetzel In 1968,The Cash Machine
General,What album got arrowsmith a gold lp in 1975,Get your wings
General,What order of insects contains the most species,Beetles
General,What is the slogan for 'a sprinkle a day helps keep odour away',Shower to
Geography,How Many Times Was Tower Bridge Raised In 1990 ,460 Times 
General,In Greek mythology who was the Goddess of Chastity,Artemis – sister Apollo
History & Holidays,Christmas Island Is A Territory Belonging To Which Country ,Australia 
Science & Nature,What Is A Pencils Lead made From ,Graphite 
General,What common sign derived from the Medici family crest,Pawnbrokers balls
Toys & Games,Where on your body would you wear flippers,Feet
General,What U.S. state was once an independent republic,Texas
Food & Drink,Where was Budweiser first brewed?,St. Louis
General,In Massachusetts its illegal to have what in the bathroom,A lightswitch
General,In what game do countries play for the Venice cup,Contract Bridge
General,What is an onychophagist,A nail biter
General,What novel centres on the romances of Ursula and Gudrun Brangwen,Women in love
General,"What's the common name for the disease that doctors call ""rubella""",German measles
Geography,"For centuries, Spain's _________________ has been and still is one of the world's largest.",Fishing fleet
General,In Israel what unexpected item is certified Kosher,Postage Stamps
General,In Albany New York what's it illegal to do in the streets,Play Golf
General,What was the real name of the gangster known as pretty boy,Charles floyd
General,"In 'les miserables', jean valjean's criminal number is the same as what character in 'the simpsons'",Sideshow bob
General,Name the American pilot shot down over Russia in 1960,Francis Garry Powers
Music,Both Roxette & Sheena Easton Had A Hit With A Song Called What,You Got The Look
General,"Germany's allies in WW II were Japan, Italy, Hungary, Bulgaria, Finland, Libya, and _________",Romania
General,"The prefix tetra, used in such words as tetrach, tetrapod, & tetrameter, means what",Four
Food & Drink,What European Country Is The consumer Of The Most Ice Cream ,Sweden 
General,Britain's oldest existing Trade Union was founded in 1747 what trade,Brushmakers and General Workers
General,What does sputnik mean,Fellow traveller
General,What is the sum of all the angles in a square? (in degrees),360
General,One who tells fortunes by the stars is a(n) __________.,Astrologer
General,"What's ""birth control for roaches""",Black flag
Music,Which White Blues Singer Had Attended The University Of Texas In The Early 60's And Been Voted The Ugliest Man On Campus,Janis Joplin
Sports & Leisure,What was football player Dick Lane's nickname,Night train
General,What was the first name of the cartoon character Mr Magoo,Quincy
Food & Drink,Sweetbread is derived from this organ.,Pancreas
General,Grover Cleveland is the only United States president to have been married where?,White House
General,Tall revolving wheel at fairgrounds,Ferris
General,"Which game is played at 12 a-side for women, but at 10 a-side for men",Lacrosse
General,Name actor called The voice of Canada - had 1964 hit Ringo,Lorne Green
General,"Havilland what does dean martin's california license plate say, on his stutz blackhawk",Drunky
General,What is the fear of tapeworms known as,Taeniophobia
General,What common pests does New Zealand not have,Squirrels
General,Who won the best actress Oscar 1959 Room at the Top,Simone Signoret
General,A Scotsman tosses his caber - what does caber literally mean,Pole
General,Who was the classical composer of the tune which was used for the 'Alfred Hitchcock Presents' TV show?,Gounod
History & Holidays,Who released an album called 'Ghost in the Machine' ,The Police 
General,In cookery what happens to food served farci,It's stuffed
General,What musical play - find a character called Magnolia Hawks,Showboat
General,Which dormant volcano is the highest peak in Japan,Fujiyama
Music,What Did Tom Petty's Band Break,Hearts
General,What is the currency of Turkey,Lira
Sports & Leisure,How Many People In A Tug Of War Team ,8 People 
General,"Often, a vampire's pallor.",Pale
History & Holidays,"In 1953 Science fiction author L.Ron Hubbard founded which cult religion, one of who's prominent modern day followers is John Travolta ",Scientology 
General,"Who wrote ""Wuthering Heights""",Emily bronte
Sports & Leisure,Football: The San Diego ______?,Chargers
General,Aesculus is the Latin name of what type of tree,Horse Chestnut
General,What nationality was the explorer Vitus Bering,Danish
General,"Who recorded the 1996 alburn, ""Older""",George michael
Sports & Leisure,What Distance Is Covered In One Circuit Of A Modern Outdoor Running Track? ( In Meters) ,400 Metres 
General,How many books are there in a trilogy,Three
Geography,What is the capital of Luxembourg?,Luxembourg
General,This organ is a small pouch that stores bile,Gall bladder
Geography,In which country is Cusco,Peru
General,What animal is incapable of making a sound that will echo?,Duck
General,Who wrote a series of novels about the Ballentines of Africa,Wilber Smith
Music,What Was A Big Hit For Cameo In 1986,Word Up
Toys & Games,"Which game usually begins with, ""Is it animal, vegetable, or mineral""",20 questions
General,"The highest waterfall in the world, Angel Falls in Venezuela, has a total drop of how many feet",3121
